key,level,type,category
journals/tocs,A,Journal,1
journals/tos,A,Journal,1
journals/tcad,A,Journal,1
journals/tc,A,Journal,1
journals/tpds,A,Journal,1
journals/taco,B,Journal,1
journals/taas,B,Journal,1
journals/todaes,B,Journal,1
journals/tecs,B,Journal,1
journals/trets,B,Journal,1
journals/tvlsi,B,Journal,1
journals/jpdc,B,Journal,1
journals/jsa,B,Journal,1
conf/parco,B,Journal,1
performance-evaluation,B,Journal,1
journals/jetc,C,Journal,1
journals/concurrency,C,Journal,1
journals/dc,C,Journal,1
journals/fgcs,C,Journal,1
journals/tcc,C,Journal,1
journals/integration,C,Journal,1
journal/10836,C,Journal,1
journal/grid,C,Journal,1
journals/mam,C,Journal,1
journals/rts,C,Journal,1
journals/tjs,C,Journal,1
conf/ppopp,A,Conference,1
conf/fast,A,Conference,1
conf/dac,A,Conference,1
conf/hpca,A,Conference,1
conf/micro,A,Conference,1
conf/sc,A,Conference,1
conf/asplos,A,Conference,1
conf/isca,A,Conference,1
conf/usenix,A,Conference,1
conf/cloud,B,Conference,1
conf/spaa,B,Conference,1
conf/podc,B,Conference,1
conf/fpga,B,Conference,1
conf/cgo,B,Conference,1
conf/date,B,Conference,1
conf/eurosys,B,Conference,1
hotchips.org,B,Conference,1
conf/cluster,B,Conference,1
conf/iccd,B,Conference,1
conf/iccad,B,Conference,1
conf/icdcs,B,Conference,1
conf/codes,B,Conference,1
conf/hipeac,B,Conference,1
conf/sigmetrics,B,Conference,1
conf/IEEEpact,B,Conference,1
conf/icpp,B,Conference,1
conf/ics,B,Conference,1
conf/vee,B,Conference,1
conf/ipps,B,Conference,1
conf/performance,B,Conference,1
conf/hpdc,B,Conference,1
conf/itc,B,Conference,1
conf/lisa,B,Conference,1
conf/mss,B,Conference,1
conf/rtas,B,Conference,1
conf/cf,C,Conference,1
conf/systor,C,Conference,1
conf/nocs,C,Conference,1
conf/asap,C,Conference,1
conf/aspdac,C,Conference,1
conf/europar,C,Conference,1
conf/ets,C,Conference,1
conf/fpl,C,Conference,1
conf/fccm,C,Conference,1
conf/glvlsi,C,Conference,1
conf/ats,C,Conference,1
conf/hpcc,C,Conference,1
conf/hipc,C,Conference,1
conf/mascots,C,Conference,1
conf/ispa,C,Conference,1
conf/ccgrid,C,Conference,1
conf/npc,C,Conference,1
conf/ica3pp,C,Conference,1
conf/cases,C,Conference,1
conf/fpt,C,Conference,1
conf/icpads,C,Conference,1
conf/iscas,C,Conference,1
conf/islped,C,Conference,1
conf/ispd,C,Conference,1
conf/hoti,C,Conference,1
conf/vts,C,Conference,1
journals/jsac,A,Journal,2
journals/tmc,A,Journal,2
journals/ton,A,Journal,2
journals/toit,B,Journal,2
journals/tomccap,B,Journal,2
journals/tosn,B,Journal,2
journals/cn,B,Journal,2
journals/tcom,B,Journal,2
journals/twc,B,Journal,2
journals/adhoc,C,Journal,2
journals/comcom,C,Journal,2
journals/tnsm,C,Journal,2
journals/iet-com,C,Journal,2
journals/jnca,C,Journal,2
journals/monet,C,Journal,2
journals/networks,C,Journal,2
journals/ppna,C,Journal,2
journals/wicomm,C,Journal,2
journals/winet,C,Journal,2
conf/sigcomm,A,Conference,2
conf/mobicom,A,Conference,2
conf/infocom,A,Conference,2
conf/nsdi,A,Conference,2
conf/sensys,B,Conference,2
conf/conext,B,Conference,2
conf/secon,B,Conference,2
conf/ipsn,B,Conference,2
conf/mobisys,B,Conference,2
conf/icnp,B,Conference,2
conf/mobihoc,B,Conference,2
conf/nossdav,B,Conference,2
conf/iwqos,B,Conference,2
conf/imc,B,Conference,2
conf/ancs,C,Conference,2
conf/apnoms,C,Conference,2
conf/forte,C,Conference,2
conf/lcn,C,Conference,2
conf/globecom,C,Conference,2
conf/icc,C,Conference,2
conf/icccn,C,Conference,2
conf/mass,C,Conference,2
conf/p2p,C,Conference,2
conf/ipccc,C,Conference,2
conf/wowmom,C,Conference,2
conf/iscc,C,Conference,2
conf/wcnc,C,Conference,2
conf/networking,C,Conference,2
conf/im,C,Conference,2
conf/msn,C,Conference,2
conf/mswim,C,Conference,2
conf/wasa,C,Conference,2
conf/hotnets,C,Conference,2
journals/tdsc,A,Journal,3
journals/tifs,A,Journal,3
journals/joc,A,Journal,3
tops.acm.org,B,Journal,3
journals/compsec,B,Journal,3
journals/dcc,B,Journal,3
journals/jcs,B,Journal,3
computer-law-and-security-review,C,Journal,3
journals/ejisec,C,Journal,3
journals/iet-ifs,C,Journal,3
journals/imcs,C,Journal,3
journals/ijics,C,Journal,3
journals/ijisp,C,Journal,3
journals/istr,C,Journal,3
journals/scn,C,Journal,3
conf/ccs,A,Conference,3
conf/eurocrypt,A,Conference,3
conf/sp,A,Conference,3
conf/crypto,A,Conference,3
conf/uss,A,Conference,3
conf/acsac,B,Conference,3
conf/asiacrypt,B,Conference,3
conf/esorics,B,Conference,3
conf/fse,B,Conference,3
conf/csfw,B,Conference,3
conf/srds,B,Conference,3
conf/ches,B,Conference,3
conf/dsn,B,Conference,3
conf/raid,B,Conference,3
conf/pkc,B,Conference,3
conf/ndss,B,Conference,3
conf/tcc,B,Conference,3
conf/wisec,C,Conference,3
conf/sacmat,C,Conference,3
conf/drm,C,Conference,3
conf/ih,C,Conference,3
conf/acns,C,Conference,3
conf/ccs,C,Conference,3
conf/acisp,C,Conference,3
conf/ctrsa,C,Conference,3
conf/dimva,C,Conference,3
conf/dfrws,C,Conference,3
conf/fc,C,Conference,3
conf/trustcom,C,Conference,3
conf/sec,C,Conference,3
ifip119.org/Conferences,C,Conference,3
conf/isw,C,Conference,3
conf/icdf2c,C,Conference,3
conf/icics,C,Conference,3
conf/securecomm,C,Conference,3
conf/nspw,C,Conference,3
conf/pam,C,Conference,3
conf/pet,C,Conference,3
conf/sacrypt,C,Conference,3
conf/soups,C,Conference,3
usenix.org/events,C,Conference,3
journals/toplas,A,Journal,4
journals/tosem,A,Journal,4
journals/tse,A,Journal,4
journals/ase,B,Journal,4
journals/ese,B,Journal,4
journals/tsc,B,Journal,4
journals/iee,B,Journal,4
journals/infsof,B,Journal,4
journals/jfp,B,Journal,4
journals/smr,B,Journal,4
journals/jss,B,Journal,4
journals/re,B,Journal,4
journals/scp,B,Journal,4
journals/sosym,B,Journal,4
journals/stvr,B,Journal,4
journals/spe,B,Journal,4
journals/cl,C,Journal,4
journals/ijseke,C,Journal,4
journals/sttt,C,Journal,4
journals/jlp/jlap.html,C,Journal,4
journals/jwe,C,Journal,4
journals/soca,C,Journal,4
journals/sqj,C,Journal,4
journals/tplp,C,Journal,4
conf/pldi,A,Conference,4
conf/popl,A,Conference,4
conf/sigsoft,A,Conference,4
conf/sosp,A,Conference,4
conf/oopsla,A,Conference,4
conf/kbse,A,Conference,4
conf/icse,A,Conference,4
conf/issta,A,Conference,4
conf/osdi,A,Conference,4
conf/ecoop,B,Conference,4
conf/etaps,B,Conference,4
conf/iwpc,B,Conference,4
conf/re,B,Conference,4
conf/caise,B,Conference,4
conf/icfp,B,Conference,4
conf/lctrts,B,Conference,4
conf/models,B,Conference,4
conf/cp,B,Conference,4
conf/icsoc,B,Conference,4
conf/wcre,B,Conference,4
conf/icsm,B,Conference,4
conf/vmcai,B,Conference,4
conf/icws,B,Conference,4
conf/middleware,B,Conference,4
conf/sas,B,Conference,4
conf/esem,B,Conference,4
conf/fm,B,Conference,4
conf/issta,B,Conference,4
conf/hotos,B,Conference,4
conf/pepm,C,Conference,4
conf/paste,C,Conference,4
conf/aplas,C,Conference,4
conf/apsec,C,Conference,4
conf/ease,C,Conference,4
conf/iceccs,C,Conference,4
conf/icst,C,Conference,4
conf/ispass,C,Conference,4
conf/scam,C,Conference,4
conf/compsac,C,Conference,4
conf/icfem,C,Conference,4
conf/tools,C,Conference,4
conf/IEEEscc,C,Conference,4
conf/ispw,C,Conference,4
conf/seke,C,Conference,4
conf/qrs,C,Conference,4
conf/icsr,C,Conference,4
conf/icwe,C,Conference,4
conf/spin,C,Conference,4
conf/atva,C,Conference,4
conf/lopstr,C,Conference,4
conf/tase,C,Conference,4
conf/msr,C,Conference,4
conf/refsq,C,Conference,4
conf/wicsa,C,Conference,4
journals/tods,A ,Journal,4
journals/tois,A ,Journal,4
journals/tkde,A ,Journal,4
journals/vldb,A ,Journal,4
journals/tkdd,B,Journal,4
journals/tweb,B,Journal,4
journals/aei,B,Journal,4
journals/dke,B,Journal,4
journals/datamine,B,Journal,4
journals/ejis,B,Journal,4
journals/geoinformatica,B,Journal,4
journals/ipm,B,Journal,4
journals/isci,B,Journal,4
