key,level,type,category,fullname,publisher,url
tocs,A,Journal,1,ACM Transactions on Computer Systems,ACM,http://dblp.uni-trier.de/db/journals/tocs/
tos,A,Journal,1,ACM Transactions on Storage,ACM,http://dblp.uni-trier.de/db/journals/tos/
tcad,A,Journal,1,IEEE Transactions on Computer-Aided Design of Integrated Circuits And System,IEEE,http://dblp.uni-trier.de/db/journals/tcad/
tc,A,Journal,1,IEEE Transactions on Computers,IEEE,http://dblp.uni-trier.de/db/journals/tc/index.html
tpds,A,Journal,1,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.uni-trier.de/db/journals/tpds/
taco,A,Journal,1,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.uni-trier.de/db/journals/taco/
taas,B,Journal,1,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.uni-trier.de/db/journals/taas/
todaes,B,Journal,1,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.uni-trier.de/db/journals/todaes/
tecs,B,Journal,1,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/tecs/
trets,B,Journal,1,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.uni-trier.de/db/journals/trets/
tvlsi,B,Journal,1,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.uni-trier.de/db/journals/tvlsi/
jpdc,B,Journal,1,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.uni-trier.de/db/journals/jpdc/
jsa,B,Journal,1,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.uni-trier.de/db/journals/jsa/
parco,B,Journal,1,Parallel Computing,Elsevier,http://dblp.uni-trier.de/db/conf/parco/
pe,B,Journal,1,Performance Evaluation: An International Journal,Elsevier,http://www.journals.elsevier.com/performance-evaluation/
jetc,C,Journal,1,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.uni-trier.de/db/journals/jetc/
ccpe,C,Journal,1,Concurrency and Computation: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/concurrency/
dc,C,Journal,1,Distributed Computing,Springer,http://dblp.uni-trier.de/db/journals/dc/
fgcs,C,Journal,1,Future Generation Computer Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fgcs/
tcc,C,Journal,1,IEEE Transactions on Cloud Computing,IEEE,https://dblp.uni-trier.de/db/journals/tcc/
integration,C,Journal,1,"Integration, the VLSI Journal",Elsevier,http://dblp.uni-trier.de/db/journals/integration/
jetta,C,Journal,1,Journal of Electronic Testing-Theory and Applications,Springer,http://link.springer.com/journal/10836
jgc,C,Journal,1,Journal of Grid computing,Springer,https://dblp.uni-trier.de/db/journals/grid/
rts,C,Journal,1,Real-Time Systems,Springer,http://dblp.uni-trier.de/db/journals/rts/
tjsc,C,Journal,1,The Journal of Supercomputing,Springer,http://dblp.uni-trier.de/db/journals/tjs/
tcasi,C,Journal,1,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasI/index.html
ccfthpc,C,Journal,1,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html
tsusc,C,Journal,1,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html
ppopp,A,Conference,1,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/
fast,A,Conference,1,Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/
dac,A,Conference,1,Design Automation Conference,ACM,https://dblp.uni-trier.de/db/conf/dac/
hpca,A,Conference,1,High Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/hpca/
micro,A,Conference,1,IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM,https://dblp.uni-trier.de/db/conf/micro/
sc,A,Conference,1,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.uni-trier.de/db/conf/sc/
asplos,A,Conference,1,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/
isca,A,Conference,1,International Symposium on Computer Architecture,ACM /IEEE,http://dblp.uni-trier.de/db/conf/isca/
usenixatc,A,Conference,1,USENIX Annul Technical Conference,USENIX,http://dblp.uni-trier.de/db/conf/usenix/index.html
eurosys,A,Conference,1,European Conference on Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/eurosys/
socc,B,Conference,1,ACM Symposium on Cloud Computing,ACM,http://dblp.uni-trier.de/db/conf/cloud/
spaa,B,Conference,1,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,http://dblp.uni-trier.de/db/conf/spaa/
podc,B,Conference,1,ACM Symposium on Principles of Distributed Computing,ACM,http://dblp.uni-trier.de/db/conf/podc/
fpga,B,Conference,1,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,http://dblp.uni-trier.de/db/conf/fpga/
cgo,B,Conference,1,Code Generation and Optimization,IEEE/ACM,http://dblp.uni-trier.de/db/conf/cgo/
date,B,Conference,1,"Design, Automation & Test in Europe",IEEE/ACM,http://dblp.uni-trier.de/db/conf/date/
hotchips,B,Conference,1,Hot Chips: A Symposium on High Performance Chips,IEEE,http://www.hotchips.org/
cluster,B,Conference,1,IEEE International Conference on Cluster Computing,IEEE,https://dblp.uni-trier.de/db/conf/cluster/
iccd,B,Conference,1,International Conference on Computer Design,IEEE,http://dblp.uni-trier.de/db/conf/iccd/
iccad,B,Conference,1,International Conference on Computer-Aided Design,IEEE/ACM,http://dblp.uni-trier.de/db/conf/iccad/
icdcs,B,Conference,1,International Conference on Distributed Computing Systems,IEEE,http://dblp.uni-trier.de/db/conf/icdcs/
codes,B,Conference,1,International Conference on Hardware/Software Co-design and System Synthesis,ACM/ IEEE,http://dblp.uni-trier.de/db/conf/codes/index.html
hipeac,B,Conference,1,International Conference on High Performance and Embedded Architectures and Compilers,ACM,http://dblp.uni-trier.de/db/conf/hipeac/
sigmetrics,B,Conference,1,International Conference on Measurement and Modeling of Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/sigmetrics/
pact,B,Conference,1,International Conference on Parallel Architectures  Compilation Techniques,IEEE/ACM,http://dblp.uni-trier.de/db/conf/IEEEpact/
icpp,B,Conference,1,International Conference on Parallel Processing,,http://dblp.uni-trier.de/db/conf/icpp/
ics,B,Conference,1,International Conference on Supercomputing,ACM,http://dblp.uni-trier.de/db/conf/ics/
vee,B,Conference,1,International Conference on Virtual Execution Environments,ACM,http://dblp.uni-trier.de/db/conf/vee/
ipdps,B,Conference,1,International Parallel & Distributed Processing Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ipps/
performance,B,Conference,1,"International Symposium on Computer Performance Modeling, Measurements and Evaluation",ACM,http://dblp.uni-trier.de/db/conf/performance/
hpdc,B,Conference,1,International Symposium on High Performance Distributed Computing,IEEE,http://dblp.uni-trier.de/db/conf/hpdc/
itc,B,Conference,1,International Test Conference,IEEE,http://dblp.uni-trier.de/db/conf/itc/
lisa,B,Conference,1,Large Installation System Administration Conference,USENIX,http://dblp.uni-trier.de/db/conf/lisa/
mss,B,Conference,1,Mass Storage Systems and Technologies,IEEE,http://dblp.uni-trier.de/db/conf/mss/
rtas,B,Conference,1,Real-Time and Embedded Technology and Applications Symposium,IEEE,http://dblp.uni-trier.de/db/conf/rtas/
europar,B,Conference,1,European Conference on Parallel and Distributed Computing,Springer,http://dblp.uni-trier.de/db/conf/europar/
cf,C,Conference,1,ACM International Conference on Computing Frontiers,ACM,http://dblp.uni-trier.de/db/conf/cf
systor,C,Conference,1,ACM International Systems and Storage Conference,ACM,http://dblp.uni-trier.de/db/conf/systor/index.html
nocs,C,Conference,1,ACM/IEEE International Symposium on Networks-on-Chip,ACM/IEEE,http://dblp.uni-trier.de/db/conf/nocs
asap,C,Conference,1,"Application-Specific Systems, Architectures, and Processors",IEEE,http://dblp.uni-trier.de/db/conf/asap
aspdac,C,Conference,1,Asia and South Pacific Design Automation Conference,ACM/IEEE,http://dblp.uni-trier.de/db/conf/aspdac
ets,C,Conference,1,European Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ets/
fpl,C,Conference,1,Field Programmable Logic and Applications,IEEE,http://dblp.uni-trier.de/db/conf/fpl/
fccm,C,Conference,1,Field-Programmable Custom Computing Machines,IEEE,http://dblp.uni-trier.de/db/conf/fccm/
glvlsi,C,Conference,1,Great Lakes Symposium on VLSI,ACM/IEEE,http://dblp.uni-trier.de/db/conf/glvlsi/
